NAME;LUN;LUN_REDUCED;NAMETYPE;FACE;IAU_DIAMETER;IAU_CENTER_LATITUDE;IAU_CENTER_LONGITUDE;
Lunar formations database V2.1;� Copyright Christian Legrand;
For personal use only;
LINDENAU F;SF3250S02636E;3250S02636;SF;Face visible;7.33879;-32.5047248483254;26.3598735061031;
LINDENAU G;SF3328S02730E;3328S02730;SF;Face visible;9.4371;-33.2785573231523;27.3020382262279;
LINDENAU H;SF3137S02628E;3137S02628;SF;Face visible;11.869;-31.3731549354188;26.2796664288262;
LINNE A;SF2898N01437E;2898N01437;SF;Face visible;4.15294;28.9843485263667;14.3743919437777;
LINNE B;SF3054N01417E;3054N01417;SF;Face visible;5.34514;30.5385947586327;14.1739885791668;
LINNE D;SF2873N01711E;2873N01711;SF;Face visible;4.28131;28.7348325069403;17.1076358172689;
LINNE F;SF3234N01395E;3234N01395;SF;Face visible;4.93762;32.3403378011669;13.9461559162602;
LINNE G;SF3590N01330E;3590N01330;SF;Face visible;4.20959;35.9032272018212;13.302941028127;
LINNE H;SF3377N01377E;3377N01377;SF;Face visible;3.38453;33.7743584396092;13.7654040628424;
LIPPERSHEY K;SF2672S01145W;2672S01145;SF;Face visible;2.22057;-26.7156028856712;348.545415334893;
LIPPERSHEY L;SF2577S01178W;2577S01178;SF;Face visible;2.57833;-25.7737093472375;348.218625701343;
LIPPERSHEY M;SF2428S01090W;2428S01090;SF;Face visible;1.84367;-24.2792466690276;349.102467995458;
LIPPERSHEY N;SF2453S00957W;2453S00957;SF;Face visible;2.65242;-24.5273317502931;350.434336850484;
LIPPERSHEY P;SF2637S00838W;2637S00838;SF;Face visible;1.90928;-26.3747463072792;351.615764576846;
LIPPERSHEY R;SF2671S01018W;2671S01018;SF;Face visible;4.17999;-26.7117274636685;349.821989860575;
LIPPERSHEY T;SF2530S01113W;2530S01113;SF;Face visible;4.93473;-25.3013409893526;348.867452922808;
LITTROW A;SF2230N03219E;2230N03219;SF;Face visible;23.5616;22.3036145931944;32.1886612849384;
LITTROW D;SF2370N03281E;2370N03281;SF;Face visible;7.76412;23.6967802594173;32.8145774721796;
LITTROW F;SF2197N03412E;2197N03412;SF;Face visible;10.0281;21.9687961190638;34.1204337604928;
LITTROW P;SF2320N03288E;2320N03288;SF;Face visible;36.1008;23.2042781359926;32.8779393270054;
LOCKYER A;SF4412S03099E;4412S03099;SF;Face visible;9.64155;-44.1181791618801;30.9920415166276;
LOCKYER F;SF4759S03642E;4759S03642;SF;Face visible;19.8472;-47.5854214056913;36.4230251894492;
LOCKYER G;SF4568S03332E;4568S03332;SF;Face visible;24.0176;-45.6785326115027;33.3191200003636;
LOCKYER H;SF4448S03238E;4448S03238;SF;Face visible;31.7463;-44.4755956933774;32.3796699559659;
LOCKYER J;SF4506S03222E;4506S03222;SF;Face visible;11.89;-45.0558972508752;32.2214678641873;
LOEWY A;SF2232S03254W;2232S03254;SF;Face visible;6.65705;-22.3153316645406;327.456825664211;
LOEWY B;SF2321S03298W;2321S03298;SF;Face visible;4.09426;-23.2080261488729;327.021004628749;
LOEWY G;SF2307S03208W;2307S03208;SF;Face visible;4.48259;-23.0749399860268;327.918632682984;
LOEWY H;SF2278S03199W;2278S03199;SF;Face visible;4.70277;-22.7775680828225;328.013255944019;
LOHRMANN A;SF0075S06278W;0075S06278;SF;Face visible;11.9398;-0.745855705865733;297.216406098204;
LOHRMANN B;SF0075S06954W;0075S06954;SF;Face visible;13.5732;-0.751029121644749;290.461179840147;
LOHRMANN D;SF0014S06527W;0014S06527;SF;Face visible;10.2757;-0.140971927121756;294.727015508636;
LOHRMANN E;SF0176S06759W;0176S06759;SF;Face visible;9.43217;-1.7635125925547;292.405118213501;
LOHRMANN F;SF0139S06923W;0139S06923;SF;Face visible;10.542;-1.38905807410918;290.77264557726;
LOHRMANN M;SF0048S06900W;0048S06900;SF;Face visible;7.23125;-0.480386528819684;290.996022304307;
LOHRMANN N;SF0060S07019W;0060S07019;SF;Face visible;7.66003;-0.600389015729159;289.814075037677;
LONGOMONTANUS A;SF5294S02415W;5294S02415;SF;Face visible;28.6073;-52.941774534304;335.854097008291;
LONGOMONTANUS B;SF5293S02092W;5293S02092;SF;Face visible;45.8913;-52.9327937968857;339.084740209625;
LONGOMONTANUS C;SF5349S01911W;5349S01911;SF;Face visible;31.5421;-53.4864105312884;340.894036877742;
LONGOMONTANUS D;SF5438S02292W;5438S02292;SF;Face visible;26.1265;-54.3815312755246;337.084665197244;
LONGOMONTANUS E;SF5135S01811W;5135S01811;SF;Face visible;6.16657;-51.3460988067523;341.893912147838;
LONGOMONTANUS F;SF4831S02371W;4831S02371;SF;Face visible;18.4207;-48.3058124689545;336.287007253754;
LONGOMONTANUS G;SF4869S01851W;4869S01851;SF;Face visible;13.4151;-48.6910856625422;341.494516251383;
LONGOMONTANUS H;SF5202S02332W;5202S02332;SF;Face visible;6.78203;-52.0228278421803;336.679270229663;
LONGOMONTANUS K;SF4791S02095W;4791S02095;SF;Face visible;15.131;-47.9064132743082;339.046438757634;
LONGOMONTANUS L;SF4909S02370W;4909S02370;SF;Face visible;15.0127;-49.0924847523949;336.29516738137;
LONGOMONTANUS M;SF4861S02329W;4861S02329;SF;Face visible;9.6475;-48.6051187837466;336.713278656494;
LONGOMONTANUS N;SF5093S02586W;5093S02586;SF;Face visible;10.3863;-50.932190614997;334.137602547557;
LONGOMONTANUS P;SF4813S02531W;4813S02531;SF;Face visible;6.48361;-48.1284305432944;334.687485338526;
LONGOMONTANUS Q;SF5206S02060W;5206S02060;SF;Face visible;9.87395;-52.0633569673593;339.395696795897;
LONGOMONTANUS R;SF5245S02632W;5245S02632;SF;Face visible;7.17339;-52.4548567257234;333.677396998419;
LONGOMONTANUS S;SF4734S02336W;4734S02336;SF;Face visible;12.099;-47.339536485838;336.644479045563;
LONGOMONTANUS T;SF4680S02275W;4680S02275;SF;Face visible;5.4271;-46.7973156926904;337.24984410934;
LONGOMONTANUS U;SF5198S02209W;5198S02209;SF;Face visible;5.81538;-51.9849953083732;337.908519139976;
LONGOMONTANUS V;SF5080S01900W;5080S01900;SF;Face visible;5.22763;-50.7991421884944;340.998083218225;
LONGOMONTANUS W;SF4713S02136W;4713S02136;SF;Face visible;9.91401;-47.1316902321126;338.636374845522;
LONGOMONTANUS X;SF5297S01777W;5297S01777;SF;Face visible;5.03903;-52.9653175659452;342.232568861313;
LONGOMONTANUS Y;SF5241S02838W;5241S02838;SF;Face visible;3.91316;-52.4130535273669;331.615386937775;
LONGOMONTANUS Z;SF4991S01800W;4991S01800;SF;Face visible;96.1312;-49.9088682305171;342.003287144095;
LOUVILLE A;SF4328N04534W;4328N04534;SF;Face visible;8.44779;43.2811324976702;314.664359290868;
LOUVILLE B;SF4406N04652W;4406N04652;SF;Face visible;8.03247;44.0563982740009;313.476288737361;
LOUVILLE D;SF4685N05214W;4685N05214;SF;Face visible;6.89308;46.8541496380175;307.856448678965;
LOUVILLE DA;SF4658N05172W;4658N05172;SF;Face visible;10.7485;46.5821053340176;308.283955110246;
LOUVILLE E;SF4318N04595W;4318N04595;SF;Face visible;5.68013;43.1792035476887;314.047115483601;
LOUVILLE K;SF4678N05522W;4678N05522;SF;Face visible;5.32395;46.7845120537719;304.783239921474;
LOUVILLE P;SF4560N05221W;4560N05221;SF;Face visible;7.18718;45.6035573842807;307.787055332211;
LUBBOCK C;SF0489S03988E;0489S03988;SF;Face visible;7.45629;-4.88633173209763;39.8827979507507;
LUBBOCK D;SF0458S03917E;0458S03917;SF;Face visible;10.5471;-4.57744296512917;39.1729748358571;
LUBBOCK G;SF0371S03930E;0371S03930;SF;Face visible;10.3291;-3.7052509973234;39.2964899722622;
LUBBOCK H;SF0267S04179E;0267S04179;SF;Face visible;9.24198;-2.66815835250394;41.7870192148969;
LUBBOCK K;SF0515S03835E;0515S03835;SF;Face visible;6.04768;-5.14788430581045;38.3549096386786;
LUBBOCK L;SF0499S03929E;0499S03929;SF;Face visible;6.27869;-4.99361899465218;39.2900059507846;
LUBBOCK M;SF0041S03869E;0041S03869;SF;Face visible;22.1567;-0.405094167940376;38.6927781584034;
LUBBOCK N;SF0157S03973E;0157S03973;SF;Face visible;25.7995;-1.56727497872698;39.7254417463903;
LUBBOCK P;SF0293S03953E;0293S03953;SF;Face visible;7.21782;-2.93322771407854;39.5336559790313;
LUBBOCK R;SF0017S04045E;0017S04045;SF;Face visible;23.7886;-0.167002472909918;40.4525956685604;
LUBBOCK S;SF0063N04131E;0063N04131;SF;Face visible;24.9582;0.625181778961838;41.3052985461327;
LUBINIEZKY A;SF1651S02568W;1651S02568;SF;Face visible;28.161;-16.5137296984324;334.321753862029;
LUBINIEZKY D;SF1652S02349W;1652S02349;SF;Face visible;7.05396;-16.5232512472281;336.514870791596;
LUBINIEZKY E;SF1661S02738W;1661S02738;SF;Face visible;37.2362;-16.6096949584014;332.622286791182;
LUBINIEZKY F;SF1834S02186W;1834S02186;SF;Face visible;7.01726;-18.3412514558305;338.143971278955;
LUBINIEZKY G;SF1536S02028W;1536S02028;SF;Face visible;3.65326;-15.3589248399575;339.723604519506;
LUBINIEZKY H;SF1701S02121W;1701S02121;SF;Face visible;4.28637;-17.0058226117188;338.790021545982;
LUTHER H;SF3605N02280E;3605N02280;SF;Face visible;6.85236;36.0496451277225;22.7971435252948;
LUTHER K;SF3749N02333E;3749N02333;SF;Face visible;3.50319;37.4932049693534;23.3293469852504;
LUTHER X;SF3619N02436E;3619N02436;SF;Face visible;3.57875;36.1858510203134;24.3565247253244;
LUTHER Y;SF3814N02441E;3814N02441;SF;Face visible;3.37668;38.1382828461241;24.4089120107186;
LYELL A;SF1432N03960E;1432N03960;SF;Face visible;6.98265;14.322732294045;39.6039728158021;
LYELL B;SF1436N03846E;1436N03846;SF;Face visible;4.66379;14.3568070060183;38.4648604556055;
LYELL C;SF1514N03939E;1514N03939;SF;Face visible;4.14601;15.1418606943227;39.3910914462212;
LYELL D;SF1491N04146E;1491N04146;SF;Face visible;17.3997;14.9083013692982;41.4611487051948;
LYELL K;SF1528N04086E;1528N04086;SF;Face visible;4.99785;15.2830155457842;40.8584146524997;
LYOT A;SF4899S07994E;4899S07994;SF;Face visible;38.3875;-48.9934370189813;79.9384609352433;
LYOT B;SF5051S08190E;5051S08190;SF;Zone des librations;10.8372;-50.5075926393313;81.9018574213168;
LYOT C;SF5048S08011E;5048S08011;SF;Zone des librations;17.3912;-50.4825817544112;80.1120978693618;
LYOT D;SF5169S08254E;5169S08254;SF;Zone des librations;16.6949;-51.6889001609735;82.5352040811364;
LYOT E;SF5207S08391E;5207S08391;SF;Zone des librations;13.077;-52.0705393954606;83.9137407442526;
LYOT F;SF5234S08234E;5234S08234;SF;Zone des librations;20.7297;-52.3358325489886;82.3354476330446;
LYOT H;SF5150S07800E;5150S07800;SF;Face visible;63.5917;-51.4980231262985;78.003211120159;
LYOT L;SF5425S08315E;5425S08315;SF;Zone des librations;80.0846;-54.249892118619;83.1465041329927;
LYOT M;SF5345S08668E;5345S08668;SF;Zone des librations;26.315;-53.4456314531515;86.6817180491079;
LYOT N;SF5293S08367E;5293S08367;SF;Zone des librations;14.7965;-52.9277809778667;83.6677503998299;
